Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Chollo,Probabilidad_Chollo
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Home,90.0,1729.01,1,0.63
Intel Core i5-13420H,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53.0,999.0,1,0.99
Intel Core i7-13620H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,52.0,869.0,1,1.0
Intel Core i5-12500H,16.0,DDR4,1.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDos,54.0,949.0,1,0.52
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53.0,1259.78,0,0.5
Intel Core i7-13620H,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53.0,969.0,1,1.0
Intel Core i3-1315U,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Pro,41.0,610.99,1,0.8
Intel Core i7-13620H,32.0,DDR5,1000.0,Intel® UHD Graphics,15.6,1920x1080,No,53.0,1249.0,1,0.84
Intel Core i7-14700HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,90.0,1899.0,0,0.21
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,90.0,1599.0,0,0.31
Intel Core Ultra 7-155H,16.0,DDR5,1.0,Intel Arc Graphics,16.0,2560x1600,Windows 11 Home,99.0,1729.01,1,0.73
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,99.0,1679.0,0,0.3
Intel Core i7-13700HX,32.0,DDR5,1000.0,Intel® UHD Graphics,17.0,2560x1600,Windows 11 Home,90.0,,1,0.62
Intel Core i5-13500H,16.0,DDR5,1.0,,15.6,1920x1080,No,54.0,1019.0,1,0.52
Intel Core i5-13420H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,No,53.0,949.0,1,0.52
Intel Core i7-13620H,16.0,DDR5,1.0,,14.0,2880x1800,Windows 11 Home,63.0,1919.0,0,0.39
Apple M-M4 Pro,24.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,2812.58,0,0.0
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,99.0,1609.0,0,0.22
Intel Core Ultra 7-155H,16.0,DDR5,1.0,Intel Arc Graphics,16.0,2880x1800,Windows 11 Home,76.0,2611.99,0,0.41
Apple M-M4 Max,36.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3955.16,0,0.0
Apple M-M3,8.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sonoma,52.0,1346.28,0,0.13
Apple M-M3,24.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1679.54,0,0.09
Apple M-M4 Pro,24.0,,512.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,2336.51,0,0.03
Apple M-M2,8.0,,512.0,Apple GPU,13.6,2560x1664,macOS Monterey,52.0,1260.59,0,0.1
Apple M-M2,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sonoma,52.0,1017.61,0,0.1
Apple M-M4 Max,36.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,3669.51,0,0.0
Apple M-M3,8.0,,256.0,Apple GPU,23.5,4480x2520,macOS Sonoma,,1564.95,0,0.08
Apple M-M4,16.0,,512.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,1827.15,0,0.06
Apple M-M2,8.0,,512.0,Apple GPU,13.6,2560x1664,macOS Monterey,52.0,1260.59,0,0.1
Apple M-M3 Max,36.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sonoma,100.0,3863.68,0,0.0
Apple M-M3,8.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1641.59,0,0.06
Apple M-M3,16.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1746.19,0,0.04
Apple M-M3,16.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1746.19,0,0.04
