Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio
Intel Core i7-8750H,32,DDR4,1,Intel® UHD Graphics 630,15.6,1920x1080,Windows 10 Pro,,"1142,86"
Intel Core i5-135U,16,DDR5,512,Intel Arc Graphics,13.5,2256x1504,Windows 11,,"1663,99"
Intel Core Ultra 5-125U,16,DDR5,512,Intel Graphics,14,1920x1200,Windows 11 Pro,58,"1890,00"
Qualcomm Snapdragon-X1P-42-100,32,DDR5,1,Qualcomm Adreno GPU,14,1920x1200,Windows 11 Home,57,"1333,99"
AMD Ryzen 5-5625U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42,"596,99"
Intel Core Ultra 7-155U,32,DDR5,1,Intel Graphics,14,1920x1200,Windows 11 Pro,57,"2836,00"
Qualcomm Snapdragon-X1E-80-100,16,DDR5,,,13,2880x1920,Windows 11 Pro,53,"1837,99"
Intel Core i7-13620H,16,DDR5,1,Intel® UHD Graphics,16,1920x1200,FreeDOS,54,"1117,46"
Intel Core i7-12650HX,16,DDR5,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,57,"1112,99"
Intel Core Ultra 7-155H,16,DDR5,1,,17,2560x1600,Windows 11 Home,77,"1458,99"
AMD Ryzen 7-7435HS,24,DDR5,1,No disponible,15.6,1920x1080,No,60,"1001,00"
Qualcomm Snapdragon-X1E-80-100,16,DDR5,512,Qualcomm Adreno GPU,13.8,2304x1536,Windows 11 Home,54,"1558,00"
Intel Core i5-12450H,16,DDR4,512,Intel® UHD Graphics,16,1920x1200,No,70,"1099,00"
AMD Ryzen 5-7520U,16,DDR5,512,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,42,"499,00"
